"","index","name","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"1",1,"Bedok North Street 4 Blk 85 (85 Fengshan Centre)",1.33199369902375,103.936546150918,0,"People typically spend 30 min to 1 hr here",100,0,8,0,0,0,0,0,0,17,53,93,100,71,42,31,23,13,6,6,13,20,22,18,11,4,0,0,0,0,0,0,0,10,28,38,29,19,18,18,13,6,2,3,7,12,14,12,8,3,0,0,0,0,0,0,0,17,40,54,46,30,24,23,17,9,4,5,9,14,16,13,8,2,0,0,0,0,0,0,0,18,41,55,46,30,24,25,20,10,4,5,9,14,16,14,10,4,0,0,0,0,0,0,0,16,42,58,49,32,29,28,20,9,4,5,9,14,16,14,10,4,0,0,0,0,0,0,0,20,45,58,47,32,26,21,14,7,3,4,8,14,18,17,12,6,0,1,1,1,1,1,4,24,58,86,83,56,34,25,17,9,5,9,16,22,25,23,16,8,2
"2",2,"Redhill Lane Blk 85 (Redhill Food Centre)",1.28729399905648,103.815988850918,0,"People typically spend 30 min to 1 hr here",75,0,12,0,0,0,0,0,0,0,0,56,94,100,93,94,71,36,20,20,24,27,26,22,0,0,0,0,0,0,0,0,0,0,0,31,46,45,48,77,61,20,10,15,22,26,26,22,0,0,0,0,0,0,0,0,0,0,27,52,57,50,67,85,62,25,10,13,20,26,28,25,0,0,0,0,0,0,0,0,0,0,0,32,53,51,62,93,71,26,14,20,28,33,33,27,0,0,0,0,0,0,0,0,0,0,0,40,58,56,62,90,71,26,13,19,28,33,32,24,0,0,0,0,0,0,0,0,0,0,0,34,51,48,61,81,62,25,10,14,23,32,35,30,0,0,0,0,0,0,0,0,0,0,0,45,74,80,75,74,60,33,18,20,26,31,32,28,0,0,0
"3",3,"Sembawang Hills Food Centre (Jalan Leban Food Centre)",1.37228829899424,103.826813450918,0,"People typically spend 20-45 min here",67,0,12,0,0,0,0,0,0,22,48,76,92,95,93,86,71,51,36,28,23,19,14,10,0,0,0,0,0,0,0,0,0,13,38,59,54,50,67,77,59,37,27,24,21,18,14,10,0,0,0,0,0,0,0,0,0,16,46,69,61,52,70,85,67,43,32,28,24,20,15,10,0,0,0,0,0,0,0,0,0,19,45,68,73,66,77,94,75,46,33,29,26,21,16,11,0,0,0,0,0,0,0,0,0,19,48,73,68,57,74,95,77,49,38,33,29,24,18,13,0,0,0,0,0,0,0,0,0,18,49,72,65,56,73,91,78,52,37,32,28,24,19,14,0,0,0,0,0,0,0,0,0,24,59,91,98,95,100,99,83,62,48,41,36,29,22,15,0,0,0
"4",4,"Serangoon Garden Market",1.36325699900085,103.864378350918,0,"People typically spend 20 min to 1 hr here",82,0,12,0,0,0,0,0,0,20,47,74,89,95,99,100,85,60,40,35,40,43,38,26,0,0,0,0,0,0,0,0,0,11,24,35,39,38,44,53,50,34,21,18,19,20,17,13,0,0,0,0,0,0,0,0,0,20,44,62,63,64,74,82,70,45,26,22,25,29,27,20,0,0,0,0,0,0,0,0,0,19,37,50,56,64,77,85,75,52,33,27,29,30,27,20,0,0,0,0,0,0,0,0,0,27,49,64,68,71,80,85,75,53,34,27,28,31,30,23,0,0,0,0,0,0,0,0,0,21,50,70,68,65,77,88,77,51,32,28,31,35,33,27,0,0,0,0,0,0,0,0,0,24,57,87,95,90,90,95,89,67,45,35,35,39,38,31,0,0,0
"5",5,"Shunfu Road Blk 320 (Shunfu Mart)",1.35205229900905,103.834944300918,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"6",6,"Sims Place Blk 49 (Sims Vista Market and Food Centre)",1.3170398990347,103.877170150918,0,"People typically spend 25 min to 1 hr here",69,0,12,0,0,0,0,0,0,13,35,64,82,83,77,74,64,43,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,48,46,39,58,87,66,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,57,47,41,65,85,66,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,58,58,53,74,100,77,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,62,56,48,68,89,71,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,58,70,70,69,69,57,36,19,0,0,0,0,0,0,0,0
"7",7,"Smith Street Blk 335 (Chinatown Complex Market)",1.28258629905993,103.840898250918,0,"0",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,96,94,89,85,81,76,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,55,49,47,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,64,56,53,53,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,72,63,56,53,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,83,69,59,56,57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,80,67,58,56,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,97,92,88,89,91,88,0,0,0,0,0
"8",8,"Taman Jurong Market and Food Centre",1.33466049902179,103.719358350918,0,"People typically spend 25 min to 1 hr here",0,0,12,0,0,0,0,0,0,0,0,0,0,0,96,86,64,0,0,0,0,70,71,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,81,55,0,0,0,0,49,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,98,67,0,0,0,0,60,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,66,0,0,0,0,57,58,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,92,73,0,0,0,0,66,69,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,81,61,0,0,0,0,66,70,59,0,0,0
"9",9,"Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)",1.3458570990136,103.942483850918,0,"People typically spend 30 min to 1 hr here",94,0,8,0,0,0,0,0,0,29,61,90,100,93,81,63,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,34,31,27,29,28,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,40,54,50,42,43,41,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,53,51,42,42,42,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,47,65,61,48,48,47,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52,68,61,52,49,42,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66,88,89,78,68,55,36,18,0,0,0,0,0,0,0,0,0
"10",10,"Tanglin Halt Market",1.30078649904661,103.795845750918,0,"People typically spend 20-45 min here",86,0,11,0,0,0,0,0,0,25,54,83,100,99,87,71,51,32,20,18,21,25,27,26,22,0,0,0,0,0,0,0,0,22,39,46,42,42,56,65,53,29,15,13,18,23,26,25,22,0,0,0,0,0,0,0,0,33,59,71,67,64,68,66,51,30,18,17,23,31,37,37,33,0,0,0,0,0,0,0,0,34,58,68,65,67,75,74,56,33,18,16,22,29,33,33,28,0,0,0,0,0,0,0,0,30,55,66,62,60,69,73,58,34,20,18,25,32,36,35,29,0,0,0,0,0,0,0,0,28,54,67,62,57,64,69,53,29,16,16,22,30,34,35,32,0,0,0,0,0,0,0,0,30,62,89,98,90,78,68,56,41,28,22,24,30,35,37,35,0,0
