"","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","CLEANINGSTARTDATE","ADDRESSUNITNUMBER","ADDRESSFLOORNUMBER","NO_OF_FOOD_STALLS","HYPERLINK","REGION","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","NO_OF_MARKET_STALLS","AWARDED_DATE","LANDYADDRESSPOINT","CLEANINGENDDATE","PHOTOURL","ADDRESSTYPE","RNR_STATUS","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","DESCRIPTION_MYENV","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D","snippet","X","index","lon","lat","popular_times","time_spent","current_popularity","filled","peak","sun0","sun1","sun2","sun3","sun4","sun5","sun6","sun7","sun8","sun9","sun10","sun11","sun12","sun13","sun14","sun15","sun16","sun17","sun18","sun19","sun20","sun21","sun22","sun23","mon0","mon1","mon2","mon3","mon4","mon5","mon6","mon7","mon8","mon9","mon10","mon11","mon12","mon13","mon14","mon15","mon16","mon17","mon18","mon19","mon20","mon21","mon22","mon23","tue0","tue1","tue2","tue3","tue4","tue5","tue6","tue7","tue8","tue9","tue10","tue11","tue12","tue13","tue14","tue15","tue16","tue17","tue18","tue19","tue20","tue21","tue22","tue23","wed0","wed1","wed2","wed3","wed4","wed5","wed6","wed7","wed8","wed9","wed10","wed11","wed12","wed13","wed14","wed15","wed16","wed17","wed18","wed19","wed20","wed21","wed22","wed23","thu0","thu1","thu2","thu3","thu4","thu5","thu6","thu7","thu8","thu9","thu10","thu11","thu12","thu13","thu14","thu15","thu16","thu17","thu18","thu19","thu20","thu21","thu22","thu23","fri0","fri1","fri2","fri3","fri4","fri5","fri6","fri7","fri8","fri9","fri10","fri11","fri12","fri13","fri14","fri15","fri16","fri17","fri18","fri19","fri20","fri21","fri22","fri23","sat0","sat1","sat2","sat3","sat4","sat5","sat6","sat7","sat8","sat9","sat10","sat11","sat12","sat13","sat14","sat15","sat16","sat17","sat18","sat19","sat20","sat21","sat22","sat23"
"97","Telok Blangah Rise Blk 36 (Telok Blangah Rise Market)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","36","","29/10/1975","Existing","","","","","","","","","","","","28355.97","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg","I","","","20/10/2010","26753.38","Telok Blangah Rise","90036","","","Blk 36, Telok Blangah Rise, Singapore 090036","336A650EB617CFD9","20210330151704","",16,16,1.27246339906735,103.819735850918,0,"People typically spend 20-45 min here",66,0,12,0,0,0,0,0,0,27,47,68,85,94,92,80,63,49,41,39,40,39,34,25,14,0,0,0,0,0,0,0,0,7,19,33,48,63,75,74,59,40,26,20,21,23,22,18,12,0,0,0,0,0,0,0,0,13,27,39,48,61,82,94,77,48,29,23,20,18,14,9,5,0,0,0,0,0,0,0,0,22,31,38,46,61,80,86,69,42,23,20,26,33,33,26,15,0,0,0,0,0,0,0,0,22,36,45,49,59,85,100,78,42,25,27,35,39,36,28,17,0,0,0,0,0,0,0,0,20,32,43,56,73,90,94,78,53,34,28,31,34,33,26,16,0,0,0,0,0,0,0,0,27,47,66,82,92,94,89,75,58,46,42,46,51,49,39,25,0,0
"96","Telok Blangah Drive Blk 82 (Telok Blangah Market)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","82","","30/5/1977","Existing","","","","","","","","","","","","28488.45","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg","I","","","29/11/2011","25175.96","Telok Blangah Drive","100082","","","Blk 82, Telok Blangah Drive, Singapore 100082","1EB09A2246D74491","20210330151704","",15,15,1.27378949906638,103.805554250918,0,"0",0,0,9,0,0,0,0,0,0,0,30,69,95,80,41,15,6,5,6,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,4,3,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,21,55,52,27,20,13,5,3,3,5,5,4,3,1,0,0,0,0,0,0,0,0,0,0,13,33,41,27,13,8,5,3,2,3,5,6,6,4,0,0,0,0,0,0,0,0,0,0,12,40,58,42,23,15,10,6,3,4,9,10,5,1,0,0,0,0,0,0,0,0,0,0,13,46,52,37,26,13,8,9,10,9,7,4,2,1,0,0,0,0,0,0,0,0,0,0,42,84,100,69,29,9,4,4,5,5,4,4,3,1,0,0,0
"94","Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","11","","19/10/1974","Existing","","","","","","","","","","","","28870.260000000002","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif","I","","","15/1/2010","26366.58","Telok Blangah Crescent","90011","","","Blk 11, Telok Blangah Crescent, Singapore 090011","917DDC2AA52EDFBD","20210330151704","",13,13,1.27747559906368,103.816479650918,0,"People typically spend 20 min to 1 hr here",30,0,8,0,0,0,0,0,0,25,56,86,100,95,82,65,44,26,17,16,17,17,14,10,5,1,0,0,0,0,0,0,0,16,32,44,42,35,41,55,45,21,10,12,14,16,15,12,7,3,0,0,0,0,0,0,0,20,31,38,38,38,41,41,33,19,10,8,10,11,11,9,6,3,0,0,0,0,0,0,0,18,36,48,48,41,46,58,42,17,10,11,12,12,10,8,5,2,0,0,0,0,0,0,0,22,40,51,49,46,52,55,41,22,13,12,13,13,12,10,7,4,0,0,0,0,0,0,0,26,50,69,68,56,58,74,62,30,14,14,15,16,15,12,9,6,0,0,0,0,0,0,0,35,64,88,95,88,76,63,48,34,23,19,18,19,17,14,9,4,0
"92","Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","6","","18/4/1977","Existing","","","","","","","","","","","","28787.08","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg","I","","","27/12/2013","29096.05","Tanjong Pagar Plaza","81006","","","Blk 6, Tanjong Pagar Plaza, Singapore 081006","90C2DF39720A2465","20210330151704","",11,11,1.27656389906435,103.840914250918,0,"People typically spend 30 min here",26,0,12,0,0,0,0,0,0,2,9,19,30,36,38,35,27,17,9,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,31,37,35,53,88,69,27,13,10,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,31,38,37,57,92,66,24,12,10,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,30,35,33,55,94,70,27,13,11,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,30,37,36,55,100,69,23,14,12,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,29,32,31,52,83,62,26,13,11,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,22,36,44,45,44,38,26,15,8,5,3,2,0,0,0,0
"70","Maxwell Food Centre (Kim Hua Market)","Upgraded prior to HUP","","","","",-1,0,-1,0,"","1","","1935","Existing","","","","","","","3365.392","","","","","29173.83","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg","I","","","","29280.89","Kadayanallur Street","69184","","","1, Kadayanallur Street, Singapore 069184","FE75522D464BE5EA","20210330151704","",47,47,1.28033609906159,103.842572950918,0,"People typically spend 25 min to 1 hr here",91,0,12,1,1,0,0,0,0,0,0,19,30,41,57,71,65,44,33,34,38,37,30,20,11,5,1,1,1,0,0,0,0,0,0,23,24,26,48,76,67,34,19,22,28,32,30,25,18,11,5,1,1,0,0,0,0,0,0,24,28,34,61,92,83,45,25,28,38,44,42,33,22,11,4,1,1,0,0,0,0,0,0,24,29,34,61,100,91,48,29,33,41,43,39,30,19,10,4,2,1,0,0,0,0,0,0,24,28,34,63,96,83,43,24,28,37,43,43,35,24,14,6,4,0,0,0,0,0,0,0,22,26,33,57,87,81,47,27,29,40,49,50,44,32,20,10,3,0,0,0,0,0,0,0,23,32,43,60,79,78,57,39,37,46,52,51,43,30,17,8
"57","Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","112","","1/1/1969","Existing","","","","","","","","","","","","29161.95","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg","I","","","28/11/2013","27186.98","Jalan Bukit Merah","160112","","","Blk 112, Jalan Bukit Merah, Singapore 160112","F6CA40B9C5AB229D","20210330151704","",104,104,1.28005859906179,103.823789050918,0,"People typically spend 25 min here",98,0,9,0,0,0,0,0,4,24,55,86,100,88,60,33,15,8,5,5,4,3,1,1,1,0,0,0,0,0,0,0,6,18,28,28,23,19,18,14,6,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,12,29,46,56,56,48,37,24,14,6,3,1,1,1,0,1,1,0,0,0,0,0,0,0,8,25,43,54,54,44,36,30,19,7,1,1,0,1,1,1,1,0,0,0,0,0,0,0,8,25,41,51,52,48,39,27,17,9,4,2,1,0,1,1,1,0,0,0,0,0,0,0,5,26,46,52,48,43,36,26,15,8,4,2,1,0,1,1,1,0,0,0,0,0,0,0,5,29,60,84,88,74,51,31,16,7,4,3,3,2,1,1,1,0,0
"3","Amoy Street Food Centre (Telok Ayer Food Centre)","HUP Standard Upgrading","","","","",-1,0,-1,0,"","","","1983","Existing","","","","","","","3539","","","","","29075","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg","I","","National Development Building","17/2/2003","29478.87","Telok Ayer Street","69111","","","National Development Building, Annex B, Telok Ayer Street, Singapore 069111","81106E0569F14101","20210330151704","",61,61,1.27942739906225,103.844601650918,0,"People typically spend 25 min to 1 hr here",26,0,12,0,0,0,0,0,0,1,4,10,15,18,21,22,17,12,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,27,21,18,49,91,73,28,11,10,10,9,7,5,0,0,0,0,0,0,0,0,0,6,22,32,21,24,66,100,72,28,11,8,8,7,5,4,0,0,0,0,0,0,0,0,0,9,25,30,18,21,58,93,75,32,11,9,10,11,9,7,0,0,0,0,0,0,0,0,0,10,30,37,22,23,61,97,78,33,11,9,10,11,10,7,0,0,0,0,0,0,0,0,0,7,22,31,22,25,59,88,68,29,11,9,10,11,10,8,0,0,0,0,0,0,0,0,0,2,8,16,22,23,24,29,29,19,10,7,8,9,9,7,0,0,0
"88","Smith Street Blk 335 (Chinatown Complex Market)","HUP Reconfiguration","","","","",-1,0,-1,0,"","335","","31/5/1983","Existing","","","","","","","","","","","","29408.57","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg","I","","","30/4/2008","29097.23","Smith Street","50335","","","Blk 335, Smith Street, Singapore 050335","B4A7F7D00E4690FF","20210330151704","",7,7,1.28258629905993,103.840898250918,0,"0",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,96,94,89,85,81,76,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,55,49,47,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,64,56,53,53,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,72,63,56,53,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,83,69,59,56,57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,80,67,58,56,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,97,92,88,89,91,88,0,0,0,0,0
"106","Upper Cross Street Blk 531A (Hong Lim Food Centre and Market)","HUP Reconfiguration","","","","",-1,0,-1,0,"","531A","","28/1/1978","Existing","","","","","","","","","","","","29741.54","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg","","","","9/3/2011","29391.18","Upper Cross Street","51531","","","Blk 531A, Upper Cross Street, Singapore 051531","A6069393A97212DA","20210330151704","",25,25,1.28539479905788,103.843633150918,0,"People typically spend 30 min to 1 hr here",39,0,12,0,1,1,1,1,1,3,8,15,24,35,44,48,45,40,34,31,28,26,21,16,10,6,2,1,1,1,1,1,3,10,22,33,38,42,61,85,77,47,32,30,29,26,22,17,12,7,3,1,1,1,1,1,2,10,21,32,40,48,69,91,82,51,31,27,28,26,23,18,12,7,3,0,1,1,1,0,5,14,25,36,43,54,77,97,85,55,37,33,33,31,25,19,12,6,2,0,1,1,1,1,2,11,26,41,48,54,75,100,90,56,35,30,30,29,24,19,12,7,3,0,1,1,1,1,2,10,22,34,42,52,71,87,81,56,37,32,33,33,30,23,15,8,3,0,1,1,1,1,2,8,18,29,40,51,60,67,67,59,49,39,33,29,25,20,13,8,3
"67","Market Street Interim Hawker Centre","Interim Centre","","","","",-1,0,-1,0,"","5","","24/5/2017","Existing","","","","","","","1817.18","","","","","29337.86","","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262225979894.jpg","","","Market Street Interim Hawker Centre","","29742.29","Cross Street","48418","","","5, Cross Street, Singapore 048148","2120FA820A4A9786","20210330151704","",44,44,1.28241109906006,103.845411250918,0,"0",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
